% Model,a4_Water.mph
% Version,COMSOL 5.3.0.223
% Date,"Feb 26 2018, 18:02"
% Table,Nonlinear solver - 
% Iteration number,Error
1,46.44263651256825
2,4.358511545252266
3,9.745584536302172E-6
4,0.207448316485655
5,0.002420159261729074
6,4.409628373980059E-6
NaN,NaN
7,19.266616489244676
8,0.2714120940151734
9,2.5969671804899312
10,0.4960000758881426
11,0.015302545639233072
12,2.604506595885329E-5
NaN,NaN
13,7.2090362124669936
14,7.209460813114249
15,7.2094787550647785
16,7.204594584546176
17,7.198392479805293
18,7.192323574792847
19,7.186316924873308
20,7.180440260841319
21,7.1747031068518305
22,7.169117187536547
23,7.163696635452803
24,7.158456926132081
25,7.153415213365463
26,7.148589849718807
27,7.1440006114100605
28,7.139667768688035
29,7.135613465735472
30,7.131863307949628
31,7.128444107480366
32,7.125384839597012
33,7.121354002594518
34,7.124669211302584
35,7.128358132611293
36,7.132452061925418
37,7.1369844146939645
38,7.1419907886076714
39,7.147509050142276
40,7.153579344713438
41,7.160244208184086
42,7.167548401162447
43,7.175415472839175
44,7.184685248066152
45,84.79874739305795
46,0.3214941841839157
47,3.0835591354974428
48,0.5942130842350156
49,0.11946047645824281
50,0.005414868358992689
51,9.618929522938561E-6
NaN,NaN
52,7.208406801689689
53,7.2081618543892665
54,7.2028613313522145
55,7.196473400085526
56,7.190165837670362
57,7.183952672475093
58,7.1778461737224735
59,7.171851900527391
60,7.1659769933978925
61,7.160237245067639
62,7.1546472641275995
63,7.149220515917529
64,7.143972136023657
65,7.138919035690899
66,7.13407919013612
67,7.129471762348784
68,7.125117835694876
69,7.12104010812563
70,7.117263087059702
71,7.1138138520558405
72,7.110720962646679
73,7.10675217492499
74,7.110027369751043
75,7.113672825320386
76,7.117719574373334
77,7.122200754540682
78,7.127151683227318
79,7.132609921709079
80,7.138615288311006
81,7.145209959223116
82,7.152438427974035
83,7.160231717477132
84,7.169414574296376
85,84.08625623069081
86,0.3258683810008236
87,3.132544784571475
88,0.7991448488118724
89,0.13691638124946157
90,0.01109319780006277
91,1.4727134501110627E-5
NaN,NaN
92,7.208379617910936
93,7.208124844202892
94,7.202804784074782
95,7.1964062544743985
96,7.190086510753384
97,7.183859736598474
98,7.177738088641398
99,7.171727101181726
100,7.165833871800382
101,7.160074178622172
102,7.154462564520985
103,7.14901240448306
104,7.143738742546117
105,7.138658413133882
106,7.133789226374206
107,7.129150216521714
108,7.124762313391086
109,7.1206480719749585
110,7.116831789261114
111,7.113340332233534
112,7.110202035718464
113,7.106255091876451
114,7.109485026757322
115,7.113081533170871
116,7.117075379478005
117,7.1214994313878615
118,7.126388724115555
119,7.131780529200547
120,7.13771435836509
121,7.144232095656835
122,7.151377932261945
123,7.159089830308509
124,7.168184538018263
125,83.77198035728253
126,0.33161785704363256
127,3.204971499873968
128,0.9378774897522231
129,0.14248569877830108
130,0.018898323303869133
131,2.4194835174105613E-5
NaN,NaN
132,7.208550098044497
133,7.208304044205021
134,7.203037389426538
135,7.19665884964732
136,7.190360080676187
137,7.184155903350322
138,7.178058898153795
139,7.172074835375936
140,7.166211129651161
141,7.160484083230002
142,7.154908699745688
143,7.1494987638136305
144,7.144269731691493
145,7.1392388438862495
146,7.134424389987052
147,7.129845871602753
148,7.125524699018806
149,7.121483916256768
150,7.1177483953051075
151,7.1143456041509205
152,7.111304463082964
153,7.107256328825665
154,7.110580677230581
155,7.11427974304844
156,7.118384846193844
157,7.122929427993028
158,7.127949115129621
159,7.133481772781104
160,7.139567544280674
161,7.146248930234787
162,7.1535707474830925
163,7.161452960922371
164,7.170740880724852
165,84.90591958374803
166,0.3402298956377475
167,3.302680375166119
168,1.027730529703836
169,0.1505470241691906
170,0.02669643365230843
171,3.956482047059364E-5
NaN,NaN
172,7.208815139554466
173,7.208586478352164
174,7.203407571232914
175,7.197063270758579
176,7.190800779921559
177,7.184635848999324
178,7.178581846179109
179,7.172644964704286
180,7.1668330569653
181,7.161163245485178
182,7.155651243231294
183,7.150311414578977
184,7.145159845038183
185,7.140214490125519
186,7.135494319685957
187,7.131019559038701
188,7.126812372462374
189,7.122896683084675
190,7.119298194392222
191,7.116045317980204
192,7.1131679398909125
193,7.10896079277332
194,7.112444606652354
195,7.116316727465881
196,7.120609395452565
197,7.12535700293383
198,7.130596156638679
199,7.13636572093532
200,7.14270685521466
201,7.149663085445794
202,7.157189070779592
203,7.166067316877308
204,82.94817808272055
205,0.34649109794735045
206,3.3624484741308596
207,1.0726971952244206
208,0.1591981328169774
209,0.03279421674590985
210,6.0686473478993515E-5
NaN,NaN
211,7.209194070394966
212,7.209595177281643
213,7.209607868374286
214,7.204728414525805
215,7.198515479379797
216,7.192433877059818
217,7.186408048089541
218,7.180509718591001
219,7.174749206697891
220,7.169138236245634
221,7.163691561981982
222,7.158425435928286
223,7.153357388826483
224,7.148505981727499
225,7.143890869982736
226,7.139532174213461
227,7.135452915767617
228,7.131678584829029
229,7.1282358412428986
230,7.125153831671128
231,7.121059243110572
232,7.1243508846719825
233,7.128015062873761
234,7.132082937554348
235,7.136587778698804
236,7.141565022152036
237,7.147052340073074
238,7.153089763953767
239,7.1597196159997125
240,7.16698660938901
241,7.1748133177801385
242,7.184041003127414
243,85.28092154967031
244,0.3587473338080996
245,3.4311095674155783
246,1.0982365214260295
247,0.16214880084347882
248,0.03982909831191553
249,8.894757032671068E-5
NaN,NaN
250,7.209544586962047
251,7.209968290486212
252,7.210020036975813
253,7.205268566269045
254,7.199106857839199
255,7.19308180258393
256,7.187113434284263
257,7.181278616152473
258,7.175588207488062
259,7.170055187735404
260,7.1646949036786545
261,7.159524283072703
262,7.154561642393863
263,7.149826494672904
264,7.145339351846404
265,7.141121380522506
266,7.137196241029617
267,7.133590624855748
268,7.130332323053953
269,7.126354151499099
270,7.129476748039679
271,7.132957911765233
272,7.136827821942235
273,7.1411187486604994
274,7.145865119163707
275,7.151103566435182
276,7.156872978678917
277,7.163214587060741
278,7.170171947919566
279,7.177695603908421
280,7.186577968870213
281,83.81971165342134
282,0.36706044024064116
283,3.456308476289524
284,1.1332851278489426
285,0.16757664058542857
286,0.04366204971737153
287,1.2300592373214287E-4
NaN,NaN
288,17.450930770052953
289,0.2658814510588904
290,2.647593403549104
291,0.685460310208169
292,0.15621294234382338
293,0.01880397474851877
294,1.1015001746953102E-4
NaN,NaN
295,32.73575961567818
296,5.02396718038722
297,2.754650428355071
298,0.23055837706874424
299,0.18817955689742985
300,0.7335869605000015
301,0.5509591320937034
302,0.7867878860395683
303,0.7767575422124546
304,0.8409246802295456
305,0.8803779810751899
306,0.9622660551725735
307,0.9872624271437929
308,0.9863383913947027
309,0.9834648671006972
310,1.0163586271242881
311,1.0245224515962055
312,1.0245436112088704
313,0.9941670972800473
314,0.8680753949758588
315,0.6738371600712537
316,0.4656598637179174
317,0.195233416041657
318,0.04198071106379035
319,2.852537590370938E-4
NaN,NaN
320,32.700201042197186
321,5.901226175173007
322,2.6604918657621828
323,0.14699481595080657
324,3.075779167447835
325,1.8135838252407066
326,0.43276467461609824
327,0.18667032790092247
328,0.1658279708700429
329,0.004171740326456221
330,1.3976425106564223E-5
NaN,NaN
331,34.925721419290596
332,7.10568386923671
333,2.322880335108448
334,0.12686274418458388
335,3.236344311951574
336,2.072785440516347
337,0.4829850455819008
338,0.26883269000205895
339,0.16331861801318104
340,0.004207643532697144
341,2.0471536325895036E-5
NaN,NaN
342,37.386985371846926
343,8.33013409127849
344,2.026270712702581
345,0.12160658458017873
346,3.3778436771495914
347,2.3870615279651664
348,0.5533645030108596
349,0.3641740196203663
350,0.16005502165590835
351,0.004461764784575577
352,2.9409351034078595E-5
NaN,NaN
353,39.929029524346035
354,9.522295743830265
355,1.7966606896529638
356,0.11712215394962693
357,3.431236664767303
358,2.6680295203322326
359,0.6325243042044674
360,0.43751450849810863
361,0.19403797274553414
362,0.007065050024609764
363,8.187622941622709E-5
NaN,NaN
364,42.522330250636855
365,10.67042985575098
366,1.7106388713717118
367,0.11761038298290726
368,3.601651141114614
369,2.763575494262039
370,0.6933616500529051
371,0.4900638623115188
372,0.1997292023749805
373,0.007951481180696997
374,1.1670937021686159E-4
NaN,NaN
375,44.88956918105387
376,11.759012928027424
377,1.6832613430216272
378,0.11657123848168564
379,3.7143707447591523
380,2.7932501275239283
381,0.7471956219694008
382,0.5196736498418252
383,0.18784728554608687
384,0.007080172075837168
385,1.0202067620468598E-4
NaN,NaN
386,47.34411425087495
387,12.80123718571693
388,1.6533370085705958
389,0.1200241748838999
390,3.850790764402886
391,2.775361847142989
392,0.7629261502027375
393,0.5140242155061963
394,0.14541888063434585
395,0.004681768599594211
396,4.923140884817816E-5
NaN,NaN
397,49.6833910356181
398,13.795307214497734
399,1.633696599325065
400,0.12375397602415357
401,4.011211458685607
402,2.72573483351464
403,0.789782387150809
404,0.479256110744227
405,0.0982882899273812
406,0.002539879506317682
407,1.6835538267774188E-5
NaN,NaN
408,59.203743283921085
409,17.300216557207712
410,1.7727120735554103
411,0.13147585822113572
412,4.527166748915008
