% Model,ass6.mph
% Version,COMSOL 5.2.0.166
% Date,"May 18 2017, 16:08"
% Table,Table 1 - Global Evaluation 1 (int)
% velocity,int (mol/s)
0.01,1.186292632731934E-9
0.02,1.6503150263064857E-9
0.03,1.9868398994509304E-9
0.04,2.2594033970190054E-9
0.05,2.492851230737895E-9
0.060000000000000005,2.6993048591721805E-9
0.06999999999999999,2.8856974534269817E-9
0.08,3.056124520121174E-9
0.09,3.2134426235353932E-9
0.09999999999999999,3.35978847808272E-9
