% Model:              partA.mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 24 2017, 16:34
% Table:              Table 1 - Global Evaluation 1 (-Cd)
% Rey                    Cd (1)
0.1                      400.1755518005964
1.1                      37.08496640195612
2.1                      20.204425093334798
3.1                      14.323851330363585
4.1                      11.326517635038016
5.1                      9.496929804578288
6.1                      8.256944656642235
7.1                      7.3577300639946
8.1                      6.674210872297868
9.1                      6.136081624282935
10                       5.740652043458643
20                       3.675318600891995
30                       2.934972982696547
40                       2.542754347435362
50                       2.296719358826434
60                       2.126702308192003
70                       2.0010824158797966
80                       1.9037791966444937
90                       1.8257147121779447
100                      1.7615722436338752
110                      1.7077159160806064
120                      1.6617822658393568
130                      1.6220414092139874
140                      1.587306089867508
150                      1.5565602529438411
160                      1.528985430503034
170                      1.5039797039289133
180                      1.4811110904098832
190                      1.4600756365801382
200                      1.4403250877501093
210                      1.4220086253291433
220                      1.4051166348631332
230                      1.3894767929410525
240                      1.3749028109743802
250                      1.3612255656411338
260                      1.348401575988858
270                      1.3364350656921797
280                      1.3252860711837466
290                      1.3148313040803916
300                      1.3050100428315705
